StartSize,PositionDir,Dir,Returnn,Abort,TotalGain
49.7222222221982,49.7222222221982,-1,6,97,-266.111111104599,
5.27777777419691,-9,0,-9,-9,-224.166666656598,
48.8888888887989,48.8888888887989,-1,7,97,-226.666666656598,
5.83333332980055,-9,0,-9,-9,-186.111111097599,
49.7222222221982,49.7222222221982,-1,6,97,-188.611111097599,
97.5000000038028,-9,0,-9,-9,-238.888888879204,
53.3333333335972,53.3333333335972,-1,6,97,-241.388888879204,
5.27777777419691,-9,0,-9,-9,-195.833333319803,
49.1666666666007,49.1666666666007,-1,6,97,-198.333333319803,
97.5000000038028,-9,0,-9,-9,-249.166666657006,
91.9444444478034,91.9444444478034,-1,6,100,-251.666666657006,
5.27777777420307,-9,0,-9,-9,-167.499999983405,
48.0555555553996,48.0555555553996,-1,7,97,-169.999999983405,
6.94444444100166,-9,0,-9,-9,-131.388888869007,
49.4444444444025,49.4444444444025,-1,6,97,-133.888888869007,
98.3333333372021,-9,0,-9,-9,-185.277777761807,
91.6666666700016,91.6666666700016,-1,6,100,-187.777777761807,
100.000000004001,-9,0,-9,-9,-198.611111095806,
54.1666666670026,54.1666666670026,-1,6,99,-201.111111095806,
99.7222222261989,-9,0,-9,-9,-249.166666655002,
50.2777777778018,50.2777777778018,-1,6,97,-251.666666655002,
97.222222226001,-9,0,-9,-9,-301.111111103202,
50.2777777778018,50.2777777778018,-1,6,97,-303.611111103202,
97.222222226001,-9,0,-9,-9,-353.055555551401,
91.6666666700016,91.6666666700016,-1,6,100,-355.555555551401,
100.000000004001,-9,0,-9,-9,-366.3888888854,
52.5000000001979,52.5000000001979,-1,10,97,-368.8888888854,
97.222222226001,-9,0,-9,-9,-416.111111111203,
50.5555555555975,50.5555555555975,-1,6,97,-418.611111111203,
5.83333332980055,-9,0,-9,-9,-376.388888885406,
50,50,-1,6,97,-378.888888885406,
97.222222226001,-9,0,-9,-9,-428.611111111407,
50.5555555555975,50.5555555555975,-1,6,97,-431.111111111407,
5.83333332980055,-9,0,-9,-9,-388.88888888561,
49.4444444443964,49.4444444443964,-1,6,97,-391.38888888561,
5.83333332980055,-9,0,-9,-9,-350.277777771015,
48.0555555553996,48.0555555553996,-1,7,97,-352.777777771015,
5.83333332980055,-9,0,-9,-9,-313.055555545416,
50,50,-1,6,97,-315.555555545416,
97.222222226001,-9,0,-9,-9,-365.277777771417,
50.2777777778018,50.2777777778018,-1,6,97,-367.777777771417,
97.222222226001,-9,0,-9,-9,-417.222222219616,
91.9444444477972,91.9444444477972,-1,6,100,-419.722222219616,
100.000000004001,-9,0,-9,-9,-430.277777775819,
49.7222222221982,49.7222222221982,-1,6,97,-432.777777775819,
5.83333332980055,-9,0,-9,-9,-391.388888883422,
49.1666666666007,49.1666666666007,-1,6,97,-393.888888883422,
5.83333332980055,-9,0,-9,-9,-353.055555546622,
48.3333333332014,48.3333333332014,-1,7,97,-355.555555546622,
6.94444444100166,-9,0,-9,-9,-316.666666654422,
48.3333333332014,48.3333333332014,-1,7,97,-319.166666654422,
6.94444444100166,-9,0,-9,-9,-280.277777762222,
49.4444444444025,49.4444444444025,-1,6,97,-282.777777762222,
5.83333332980055,-9,0,-9,-9,-241.66666664762,
48.0555555553996,48.0555555553996,-1,7,97,-244.16666664762,
6.94444444100166,-9,0,-9,-9,-205.555555533222,
48.0555555553996,48.0555555553996,-1,7,97,-208.055555533222,
6.94444444100166,-9,0,-9,-9,-169.444444418824,
48.6111111110032,48.6111111110032,-1,7,97,-171.944444418824,
97.222222226001,-9,0,-9,-9,-223.055555533822,
50.8333333333993,50.8333333333993,-1,6,97,-225.555555533822,
4.99999999640126,-9,0,-9,-9,-182.222222196824,
50.2777777778018,50.2777777778018,-1,6,97,-184.722222196824,
5.83333332980055,-9,0,-9,-9,-142.777777748823,
49.1666666666007,49.1666666666007,-1,6,97,-145.277777748823,
3.61111110740449,-9,0,-9,-9,-102.222222189627,
48.0555555553996,48.0555555553996,-1,7,97,-104.722222189627,
6.66666666319984,-9,0,-9,-9,-65.8333332974269,
48.6111111110032,48.6111111110032,-1,7,97,-68.3333332974269,
6.38888888540419,-9,0,-9,-9,-28.6111110718279,
49.4444444444025,49.4444444444025,-1,6,97,-31.1111110718279,
5.27777777420307,-9,0,-9,-9,10.5555555983716,
49.4444444444025,49.4444444444025,-1,6,97,8.05555559837156,
5.5555555520049,-9,0,-9,-9,49.4444444907692,
49.4444444444025,49.4444444444025,-1,6,97,46.9444444907692,
97.2222222260071,-9,0,-9,-9,-3.33333329083545,
52.2222222224022,52.2222222224022,-1,10,97,-5.83333329083545,
9.4444444412057,-9,0,-9,-9,34.4444444903611,
48.0555555554058,48.0555555554058,-1,7,97,31.9444444903611,
4.16666666300196,-9,0,-9,-9,73.3333333827649,
49.4444444444025,49.4444444444025,-1,6,97,70.8333333827649,
5.83333332980671,-9,0,-9,-9,111.944444497361,
48.0555555554058,48.0555555554058,-1,7,97,109.444444497361,
97.500000003809,-9,0,-9,-9,57.5000000489575,
91.9444444478034,91.9444444478034,-1,6,100,55.0000000489575,
100.277777781809,-9,0,-9,-9,44.1666667149519,
50.5555555556036,50.5555555556036,-1,6,97,41.6666667149519,
