StartSize,PositionDir,Dir,Returnn,Abort,TotalGain
53.05555556,49.72222222,-1,15,80,-2.5,
52.5,49.72222222,-1,15,80,-2.5,
53.05555556,49.72222222,-1,15,80,-2.5,
52.5,49.72222222,-1,15,80,-2.5,
53.05555556,49.72222222,-1,15,80,-2.5,
52.22222222,49.72222222,-1,15,80,-2.5,
53.05555556,49.72222222,-1,15,80,-2.5,
54.16666667,49.72222222,-1,15,80,-2.5,
55,49.72222222,-1,15,80,-2.5,
54.44444444,49.72222222,-1,15,80,-2.5,
55.27777778,49.72222222,-1,15,80,-2.5,
54.72222222,49.72222222,-1,15,80,-2.5,
55,49.72222222,-1,15,80,-2.5,
54.72222222,49.72222222,-1,15,80,-2.5,
55.27777778,49.72222222,-1,15,80,-2.5,
